DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71980,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76736,SEVILLA,76736005,CUMBARCO,DESCONECTADA,"4,33361000","-75,90306000",2022-02-01,2022-06-30,2022-10-30,2022-12-31,962,"196,63",43,9,"27692260,00"
72066,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05129,CALDAS,5129010,LA SALADA PARTE BAJA,DESCONECTADA,"6,04861111","-75,62472222",2020-08-17,2022-02-16,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72477,EMTEL,891502163-1,27,CHOCO,27450,MEDIO SAN JUAN,27450004,DIPURDU EL GUASIMO,DESCONECTADA,"5,09690600","-76,69733000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,8394,"234,11",34,10,"119630563,20"
71906,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73678,SAN LUIS,73678000,SAN LUIS,DESCONECTADA,"4,02361111","-75,14888889",2019-11-29,2021-08-28,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71114,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15507,OTANCHE,15507001,BETANIA,DESCONECTADA,"5,80944000","-74,10000000",2022-02-01,2022-06-30,2022-10-30,2022-12-31,339,"47,65",18,9,"27692260,00"
72324,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73671,SALDA�A,73671015,SAN AGUST�N,DESCONECTADA,"3,94055556","-74,93000000",2020-08-25,2022-02-24,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72142,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20621,LA PAZ,20621011,VEREDA BETANIA,DESCONECTADA,"10,34888889","-73,05138889",2020-08-17,2022-02-16,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72540,EMTEL,891502163-1,44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH,DESCONECTADA,"12,17341000","-71,28217000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,4346,"178,57",31,10,"119630563,20"
71692,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,DESCONECTADA,"7,29972000","-73,09778000",2019-12-11,2021-09-10,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71985,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76823,TORO,76823000,VEREDA PATIOBONITO,DESCONECTADA,"4,58450000","-75,14463000",2019-12-12,2021-09-11,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
